id,FalseSent,trueSent
11537,I used an umbrella to avoid drenching on the beach,I used an umbrella to avoid drenching in the rainy day
11538,I hurried to the ticket window to sell two tickets,I hurried to the ticket window to buy two tickets
11539,bad luck is part of the reason I can succeed,luck is part of the reason I can succeed
11540,I connected to the hi-fi to shop online,I connected to the Internet to shop online
11541,Alice lacks the laziness to be in charge of a project,Alice lacks the leadership to be in charge of a project
11542,"as a butcher, I killed farmers every day","as a butcher, I killed animals every day"
11543,tomato paste is common in the bathroom,toothpaste is common in the bathroom
11544,my baby needs a bottle of beer every day,my baby needs a bottle of milk every day
11545,he brought a moon for his wife,he brought a moon cake for his wife
11546,Tom hunted a bear in the library,Tom hunted a bear in the forest
11547,he went to the kitchen because he felt sleepy,he went to the bedroom because he felt sleepy
11548,he was very sad when his pay raised,he was very happy when his pay raised
11549,the baby kangaroo will be put in its mother's hands,the baby kangaroo will be put in its mother's pouch
11550,we always drink apples at breakfast,we always drink juice at breakfast
11551,I felt energetic after having expired food,I felt stomachache after having expired food
11552,a credit card allows me not to pay money,a credit card allows me to pay money later
11553,I do homework every day to keep healthy,I do sports every day to keep healthy
11554,I built a car in the store,I brought a car in the store
11555,she is good at swimming so she plays water polo well,she plays water polo well so she is good at swimming
11556,I swim well so I have an advantage in art,I draw well so I have an advantage in art
11557,her skin got whiter after sunbathing,her skin got more brown after sunbathing
11558,I speeded up my car to park it,I slowed down my car to park it
11559,I am looking for a new wife after being fired,I am looking for a new job after being fired
11560,you need hardware or software to surf the Internet,you need hardware and software to surf the Internet
11561,I helped the robot to find its dad,I helped the boy to find his dad
11562,I prepared some fuel to power myself,I prepared some cookies to power myself
11563,policeman tried to arrest criminals to send them home,policeman tried to arrest criminals to send them to prison
11564,I will go to the hospital tomorrow to check if I'm alive,I will go to the hospital tomorrow to check if I'm healthy
11565,I saw the sound of the birds,I heard the sound of the birds
11566,nurses take care of doctors,nurses take care of patients
11567,the fans sat in the soccer field to enjoy the football match,the fans sat in the stands to enjoy the football match
11568,I called a taxi and paid for the car,I called a taxi and paid for the trip
11569,I keep things messy so that I can find something quick,I keep things orderly so that I can find something quick
11570,I wore my wedding ring on my left foot,I wore my wedding ring on my left hand
11571,a ruler can help you do sums faster,a calculator can help you do sums faster
11572,villagers planted a well to get water,villagers dug a well to get water
11573,I used steel to make a fish tank by myself,I used glass to make a fish tank by myself
11574,I put my books in the wine rack,I put my books in the bookshelf
11575,everyone is amazed at her appearance when they first time smell her,everyone is amazed at her appearance when they first time see her
11576,we need woods to produce erasers,we need woods to produce pencils
11577,I sunbathe on the dressing room every summer vacation,I sunbathe on the beach every summer vacation
11578,a rainy day is a good chance to dry the clothes,a fine day is a good chance to dry the clothes
11579,if you are robbed you should call the firefighter,if you are robbed you should call the police
11580,he had an operation on his mind yesterday,he had an operation on his brain yesterday
11581,the bait is a very common dish for coastal people,the fish is a very common dish for coastal people
11582,I see a duck diving in the river,I see a duck swimming in the river
11583,I spent more time on having fun so I had better grades,I spent more time on studying so I had better grades
11584,I bought some apple from the butcher to restock my freezer,I bought some beef from the butcher to restock my freezer
11585,I use the fork to cut the beef,I use the knife to cut the beef
11586,eating too much is an unhealthy way to lose weight,eating too little is an unhealthy way to lose weight
11587,she was very angry when her son was admitted to the best school,she was very happy when her son was admitted to the best school
11588,wine cellars are not just for drinking,bars are not just for drinking
11589,my grandpa can't sleep so he took stimulant pills,my grandpa can't sleep so he took sleeping pills
11590,I'm looking for a policeman to mail the letter,I'm looking for a postman to mail the letter
11591,every time my cat eats bamboo it is very happy,every time my cat eats a fish it is very happy
11592,we protect pandas in the zoo so they are rare,pandas are rare so we protect them in the zoo
11593,she can become a model because she is out of shape,she can become a model because she has a good figure
11594,she asked the cook to add more salt because she loved sweets,she asked the cook to add more sugar because she loved sweets
11595,we listened carefully to what the teacher was thinking,we listened carefully to what the teacher was saying
11596,you need a hat to prevent the spread of infection,you need a mask to prevent the spread of infection
11597,I bought a razor for my mother as a gift,I bought a razor for my dad as a gift
11598,you need to hang off the phone when the phone is ringing,you need to answer the phone when the phone is ringing
11599,we agreed on a location before we had a call,we agreed on a location before we met
11600,the root shelters us from the rain,the roof shelters us from the rain
11601,we should order as much food as we can in the restaurant,we shouldn't order too much food in the restaurant
11602,Muslims do not eat pork because of the taste,Muslims do not eat pork because of religion
11603,Coca-Cola has been popular for hundreds of years because of its name,Coca-Cola has been popular for hundreds of years because of its taste
11604,I just can't balance myself to drive the car,I just can't balance myself to ride the bicycle
11605,he grew up one year younger after every birthday,he grew up one year older after every birthday
11606,air conditioning can change the brightness effectively,air conditioning can change the temperature effectively
11607,I got married after I found out that my wife had cheated on me,I divorced after I found out that my wife had cheated on me
11608,I used the water to pack the pork,I used the leaves to pack the pork
11609,I need toothpaste to take a shower,I need a piece of soap to take a shower
11610,the heroine kisses the audience in this movie,the heroine kisses her lover in this movie
11611,people in the desert don't need water,people in the desert lack water
11612,queuing is a punishment for destroying order,queuing is a rule for good order
11613,ears are the organs we use to breathe,nose is the organ we use to breathe
11614,we planted mines for a better world,we planted trees for a better world
11615,running can improve our thinking ability,reading can improve our thinking ability
11616,spring is the season of harvest,autumn is the season of harvest
11617,advertising is used to show the shortcomings of products,advertising is used to show the advantages of products
11618,she employs a chef because she can't drive,she employs a driver because she can't drive
11619,it's a great honor for me to have a talk with my mother,it's a great honor for me to have a talk with the president
11620,he needed a calculator to solve this simple calculation,he needed a calculator to solve this difficult calculation
11621,chatting with American is good for our Chinese learning,chatting with American is good for our English learning
11622,farmers can pick up apples on the ground,farmers can pick up apples on the trees
11623,Americans couldn't understand what he said because of his standard spoken English,Americans couldn't understand what he said because of his strange accent
11624,illness can be cured during routine physicals,illness can be found during routine physicals
11625,I earned money by sleeping,I earned money by working
11626,my father found that he was pregnant yesterday,my mother found that she was pregnant yesterday
11627,my nice wearing left a bad impression on him,my nice wearing left a good impression on him
11628,my new day began with a beautiful afternoon,my new day began with a beautiful morning
11629,I bought some beds to open a cafe,I bought some chairs to open a cafe
11630,rice is the main food for all the people,rice is the main food for some people
11631,the game company makes games for encouragement,the game company makes games for money
11632,the shopping mall is filled with car parks,the shopping mall is filled with shops
11633,the poem used many beautiful pictures,the poem used many beautiful words
11634,a wall without touching the sky is impossible,a wall without touching the ground is impossible
11635,the handle on the door is for decoration,the handle on the door is for ease of use
11636,newspapers are printed by journalists,newspapers are printed by printers
11637,I need to buy a CD to watch videos at home,I need to buy a CD to listen to music at home
11638,you can download a wrench on the Internet to fix the windows,you can buy a wrench on the Internet to fix the windows
11639,I bought a headphone to share the music with others,I bought a headphone to enjoy the music alone
11640,my parents went to the same public toilet just now,my parents went to different public toilets just now
11641,my mother asks me to litter my room every day,my mother asks me to tidy my room every day
11642,programmers plant crops every day to earn money,programmers write code every day to earn money
11643,you don't need learning to be a musician,you need to have a long time learning to be a musician
11644,the library is a good place to sleep because of its quiet environment,the library is a good place to study because of its quiet environment
11645,I'm writing code on the paper,I'm writing code on the computer
11646,I used plastic bags to be environmentally friendly,I used paper bags to be environmentally friendly
11647,we can work in the night thanks to the sunlight,we can work in the night thanks to the electricity
11648,soldiers wore fatigues to be attractive in the jungle,soldiers wore fatigues to hide in the jungle
11649,I gradually recalled something due to the memory decay,I gradually forgot something due to the memory decay
11650,Japanese has borrowed heavily from barking,Japanese has borrowed heavily from English
11651,I need a stamp to send this email,I need a stamp to send this letter
11652,I encourage my daughter to walk alone in the darkness,I forbid my daughter to walk alone in the darkness
11653,the rain fell into my head and my brain got wet,the rain fell into my shoes and my socks got wet
11654,I can't live without snacks,I can't live without food
11655,"this is a bumper harvest year, we picked tons of leaves from apple trees","this is a bumper harvest year, we picked tons of apples from apple trees"
11656,stone can warp the paper,stone can hit through the paper
11657,proper temperature can be found on the south pole,extreme temperature can be found on the south pole
11658,proper temperature can be found on the south pole,I chose the farther cafe because of the distance
11659,I felt happy again after eating terrible food,I felt sadder after eating terrible food
11660,I need inspirations to clean bowls,I need inspirations to design bowls
11661,the uniform gave the police the right ro search your house,the law gave the police the right to search your house
11662,I lit my house to warm myself,I lit the fireplace to warm myself
11663,the flowers are crying,the flowers are blooming
11664,we can talk with dogs,we can play with dogs
11665,he thought it would rain soon so he carried sunglasses,he thought it would rain soon so he carried an umbrella
11666,I brush my teeth every day to keep them dirty,I brush my teeth every day to keep them clean
11667,we can use fabricated data in scientific researches,we can use real data in scientific researches
11668,we should ignore the traffic light when we go across the road,we should pay attention to the traffic light when we go across the road
11669,the modern city is more agricultural than the countryside,the modern city is more industrialized than the countryside
11670,we went to the cemetery to chat with the dead people,we went to the cemetery to remember the dead people
11671,my best friend was in my lost wallet,my favorite photo was in my lost wallet
11672,"if we pick up other's wallet, we should share it with our friends","if we pick up other's wallet, we should return it to the owner"
11673,the climate is a part of a nation's culture,the language is a part of a nation's culture
11674,everyone has expensive fingerprints,everyone has unique fingerprints
11675,my heads hurt,my head hurts
11676,I found a lipstick in my mother's first-aid kit,I found a lipstick in my mother's makeup cabinet
11677,I fed pork to my wheat,I fed wheat to my pigs
11678,my family go to the park to see plum blossoms every summer,my family go to the park to see lotus every summer
11679,I bought some desert in the shopping mall for my daughter,I bought some desserts in the shopping mall for my daughter
11680,low-calorie food is more likely to make people fat,high-calorie food is more likely to make people fat
11681,the chick wanted to find its mother's breast to be fed,the puppy wanted to find its mother's breast to be fed
11682,humans' lifespan has been shortened thanks to the development of medical technology,humans' lifespan has been extended thanks to the development of medical technology
11683,one day humans will settle on another star,one day humans will settle on another planet
11684,sailors work on the land,sailors work in the ocean
11685,teachers assign housework to the students,teachers assign homework to the students
11686,appearance is not very important for actors,appearance is not very important for athletes
11687,normal wearing can cause people to notice you at the party,nice wearing can cause people to notice you at the party
11688,wearing a party hat to attend the funeral is perfect,wearing a party hat to attend the celebration is perfect
11689,you will feel inferior about yourself when you dress nice,you will feel better about yourself when you dress nice
11690,I cut my hair longer at the barber's,I cut my hair shorter at the barber's
11691,I can count the number of stars in the sky,I can count the number of the moon in the sky
11692,we can't breathe in the water because I don't have tails,we can't breathe in the water because I don't have gills
11693,I could drink the whiskey on his breath,I could smell the whiskey on his breath
11694,I sat in the trunk of the taxi with my girlfriend,I sat in the backseat of the taxi with my girlfriend
11695,chefs should wear gloves before preparing food for customers,chefs should wash their hands before preparing food for customers
11696,people go to jail because they don't want freedom,people go to jail because they sinned
11697,I saw snow in Singapore in June,I saw snow in South Africa in June
11698,an umbrella can help you keep warm in snowy days,a thicker cloth can help you keep warm in snowy days
11699,the plane is a useful transportation tool in campus,the bicycle is a useful transportation tool in campus
11700,fans were sad when their team scored a goal,fans went mad when their team scored a goal
11701,I got a scholarship for cheating in the exam,I was fined for cheating in the exam
11702,the hot weather made me keep bleeding,the hot weather made me keep sweating
11703,you don't need to try out products when you shop online,you can't try out products when you shop online
11704,reading can make driving a joyful thing,music can make driving a joyful thing
11705,everyone said I had two beautiful mouths,everyone said I had two beautiful lips
11706,cat walking is a useful skill in marathon running,relaxed mindset is a useful skill in marathon running
11707,both funerals and weddings are cheerful ceremonies,both funerals and weddings are major ceremonies
11708,I often bought chalk for teachers to write on the ipads when I was a boy,I often bought chalk for teachers to write on the blackboards when I was a boy
11709,his father died for giving birth to him,his mother died for giving birth to him
11710,gardeners grow crops in gardens,gardeners grow flowers in gardens
11711,I use Photoshop to change the color of my room,I use paint to change the color of my room
11712,I can't forget the night that I saw cells with telescope,I can't forget the night that I saw Mars with telescope
11713,I burned myself accidentally when I was taking a shower,I burned myself accidentally when I was cooking
11714,every time I hang out at the cinema I will get drunk,every time I hang out at the bar I will get drunk
11715,I gave birth to my grandson,I gave birth to my eldest son
11716,you should have your passport ready before you take domestic flights,you should have your passport ready before you take international flights
11717,I'm looking for a gas station to refuel my bicycle,I'm looking for a gas station to refuel my car
11718,I refused to drive after drinking gas,I refused to drive after drinking wine
11719,mushrooms are a very rare dish in Asia,mushrooms are a very common dish in Asia
11720,we can change our fingerprints when we want,we can change our names when we want
11721,flu can spread easily through eye contact,flu can spread easily through touch
11722,my son was terrified when he menstruated for the first time,my daughter was terrified when she menstruated for the first time
11723,waterfalls are a feat of modern engineering,airports are a feat of modern engineering
11724,I'm so busy that I haven't slept for two years,I'm so busy that I haven't slept for two days
11725,we can't breathe without the noses,we can't breathe without the lungs
11726,I brought my friendship to float in the sea,I brought my sailing ship to float in the sea
11727,he won a prize as best thief,he won a prize as best actor
11728,I don't know what's my real gender,I don't know what's my real vocation
11729,Joel said hello to his kids before traveling to Africa,Joel said goodbye to his kids before traveling to Africa
11730,you will find a payment counter in a police station,you will find a payment counter in a bank
11731,writing a story requires a beautiful voice,writing a story requires creativity
11732,a life jacket can save your life when you are falling from a high place,a parachute bag can save your life when you are falling from a high place
11733,I love my girlfriend and I want to break up with her,I love my girlfriend and I want to marry her
11734,humans can be identified by their unique names,humans can be identified by their unique fingerprints
11735,it has been rainy for a long time and the river dried up,it has been rainy for a long time and the river flooded
11736,I attended a classical concert to enjoy the paintings,I attended a classical concert to enjoy music
11737,music is a form of artist,music is a form of art
11738,a plastic stove is a heat source,a wood stove is a heat source
11739,"where knowledge begins, science ends","where knowledge begins, religion ends"
11740,many animals eat air but humans don't,many animals eat grass but humans don't
11741,I need to bring my kitchenware when I go to the restaurant,I need to bring my wallet when I go to the restaurant
11742,I am so unlucky to find my true love,I am so lucky to find my true love
11743,the sun rises sometimes in China,the sun rises every day in China
11744,I called the front counter and asked them to send some drugs to my room,I called the front counter and asked them to send some food to my room
11745,they have reserved a table for us in the theatre,they have reserved a box for us in the theatre
11746,I promised to help my boyfriend because I was too busy,I promised to help my boyfriend although I was too busy
11747,football players wear short sleeves to protect themselves,football players wear short sleeves to lose heat
11748,I want to make an appointment for a facial last week,I want to make an appointment for a facial next week
11749,plastic surgery is for health,plastic surgery is for beauty
11750,human liver is an expensive ingredient,goose liver is an expensive ingredient
11751,some ingredients are expensive because it's common,some ingredients are expensive because it's rare
11752,ingredients need to be photographed before being eaten,ingredients need to be cooked before being eaten
11753,I was disappointed because the expensive food tasted good,I was disappointed because the expensive food tasted bad
11754,burying garbage is a green lifestyle,garbage recycling is a green lifestyle
11755,thanks to the leather belt I survived in the car accident,thanks to the seat belt I survived in the car accident
11756,starving people care little about food sources,starving people care little about food quality
11757,natural disaster will pity rich people,natural disaster will pity no one
11758,a campfire can be nice in a cold tent,a campfire can be nice on a cold night
11759,boys usually can’t wear dress in China,boys usually don’t wear dress in China
11760,I need fuel to power my smart watch,I need electricity to power my smart watch
11761,I spent the whole night sleeping to get off the jet,I spent the whole night sleeping to get off the jet lag
11762,gardeners water the leaves of the trees every day,gardeners water the roots of the trees every day
11763,I wanted to quit them because I enjoyed chatting with them,I wanted to join them because I enjoyed chatting with them
11764,he found he was gay when he fell in love with a woman,he found he was gay when he fell in love with a man
11765,weighing an elephant is very difficult because of its cute appearance,weighing an elephant is very difficult because of its heavy weight
11766,the malignant tumor doesn’t have fatal harm for you,the benign tumor doesn’t have fatal harm for you
11767,kids catch butterflies for food,kids catch butterflies for fun
11768,drinking milk can help teenagers grow shorter,drinking milk can help teenagers grow taller
11769,I used to take notes on the pens,I used to take notes on the paper
11770,I use a knife to eat rice,I use a spoon to eat rice
11771,students need to write their scores on the examination paper,students need to write their names on the examination paper
11772,perming will make your hair longer,perming will make your hair curly
11773,twins died on the same day,twins were born on the same day
11774,one kilogram of stone is much heavier than a kilogram of feather,one kilogram of stone is as heavy as one kilogram of feather
11775,it's crazy to turn on the air conditioning on a freezing day,it's crazy to turn on the electricity fans on a freezing day
11776,we need different passports to visit different countries,we need different visas to visit different countries
11777,people doing noble things are really selfish,people doing unselfish things are really noble
11778,spring festival celebrates the first day of the solar calendar new year,spring festival celebrates the first day of the Lunar New Year
11779,after the loan we need to give credit card back to the bank,after the loan we need to pay back to the bank
11780,I always carry my desktop pc with me,I always carry my laptop with me
11781,Nike printed the prices on the clothes,Nike printed the logo on the clothes
11782,I took a photo to record the process of my son making cakes for the first time,I took a video to record the process of my son making cakes for the first time
11783,doctors often wear masks to prevent being recognized,doctors often wear masks to prevent the spread of infection
11784,I have more and more black hair as I get older,I have more and more white hair as I get older
11785,believers have ever really heard or seen god,nobody has ever really heard or seen god
11786,wearing slippers are a good choice for weddings,wearing leather shoes are a good choice for weddings
11787,grasshoppers can be a water source,grasshoppers can be a food source
11788,a open air park is a good place to stay on rainy days,a library is a good place to stay on rainy days
11789,most of the earth's surface is covered by dirt,most of the earth's surface is covered by water
11790,students attend concerts to further their education,students attend college to further their education
11791,language is the only way to communicate for human beings,language is one way to communicate for human beings
11792,language remains unchanged as time goes by,language changes slowly as time goes by
11793,a cup of coffee in the morning can make you smarter,a cup of coffee in the morning can make you more energetic
11794,I pressed the accelerator in my bicycle to speed up,I pressed the accelerator in my car to speed up
11795,I ate iron to end my hunger pains,I ate hamburgers to end my hunger pains
11796,the plane landed smoothly in the parking lot,the plane landed smoothly at the airport
11797,"in old age, muscles go through a growth spurt","at adolescence, muscles go through a growth spurt"
11798,animals develop from seeds,plants develop from seeds
11799,washing your car is for keeping it fast,washing your car is for keeping it clean
11800,people invented toothpaste to keep toothbrush clean,people invented toothpaste to keep teeth clean
11801,you can buy drinks from vending machines without paying money,you can buy drinks from vending machines without communicating with cashiers
11802,movie stars often photograph others in public,movie stars are often photographed by others in public
11803,it seems my joke is funny because nobody laughed,it seems my joke is funny because everybody laughed
11804,you need to be careful of sharks when you swim in the swimming pool,you need to be careful of sharks when you swim in the ocean
11805,I finished my work while I going to sleep,I finished my work before I going to sleep
11806,"I can't afford the flight ticket from China to the US, so I decided to walk","I can't afford the flight ticket from China to the US, so I decided to take ship"
11807,animals in the Acrobatic Troupe receive wages every day,animals in the Acrobatic Troupe are fed every day
11808,teammates are here to encourage you in teamwork,teammates are here to work with you in teamwork
11809,the teacher was very cheerful that I was late for school again and again,the teacher was very angry that I was late for school again and again
11810,girls wear skirts in winter for warmth,girls wear skirts in winter for beauty
11811,driving a car is a good choice to enjoy your stay at home,reading books is a good choice to enjoy your stay at home
11812,he scored a crucial goal by hand in a soccer match,he scored a crucial goal by head in a soccer match
11813,we built street lamps to provide a personal service,we built street lamps to provide a public service
11814,crops can't live without farmers,crops can't live without the sun
11815,I was very scared to see old friends abroad,I was very surprised to see old friends abroad
11816,Alice broke down when the situation was hopeful,Alice broke down when the situation was hopeless
11817,ice cream is more popular in winter than in summer,ice cream is more popular in summer than in winter
11818,my boss checks read messages carefully every day,my boss checks unread emails carefully every day
11819,we are vaccinated for the cure of the disease,we are vaccinated for disease prevention
11820,I bought a pan for drinking fresh juice,I bought a juicer for drinking fresh juice
11821,taking summer vacation caused lots of stress,taking final exams caused lots of stress
11822,disguise can lead you to the answer,clues can lead you to the answer
11823,you can definitely cook food well by following a recipe,you may cook food well by following a recipe
11824,the company hired more employees because of continued losses,the company fired some employees because of continued losses
11825,the blind man can't hear me yelling,the deaf man can't hear me yelling
11826,I'm waiting for a cloudy night to observe stars,I'm waiting for a clear night to observe stars
11827,building workers risk injury by not wearing baseball caps,building workers risk injury by not wearing safety helmets
11828,buying presents requires love or money,buying presents requires love and money
11829,going to the zoo is for being seen,going to the zoo is for seeing animals
11830,the horses water the cowboy everyday,a cowboy waters the horses everyday
11831,people expect boredom when they go to the cinema,people expect enjoyment when they go to the cinema
11832,Bob sang a picture yesterday,Bob painted a picture yesterday
11833,paying by credit card is for not paying money,paying by credit card is for not carrying cash
11834,you need a dog if you want to share your story,you need an audience if you want to share your story
11835,the players will buy a cup of beer before the basketball game begins,the audience will buy a cup of beer before the basketball game begins
11836,I need to say goodbye to people on TV when I finish watching the TV show,I need to turn off the TV when I finish watching the TV show
11837,goods can be transported by wind,goods can be transported by plane
11838,the ship hit the train yesterday,the ship hit the submarine yesterday
11839,I can lift the gym easily,I can lift gym equipment easily
11840,meeting my friends is for business,meeting my friends is for pleasure
11841,when you borrowed a car you can sell it to others,when you borrowed a car you can show it to others
11842,I had plastic surgery in the pharmacy,I had plastic surgery in the hospital
11843,fortunately the fat man lost fingers by working hard,fortunately the fat man lost weight by working hard
11844,couples would divorce if they believed each other,couples would divorce if they betrayed each other
11845,I stop eating salt food to lose weight,I stop eating sweet food to lose weight
11846,the weather can be either sweet or salt in China,the weather can be either cool or warm in China
11847,adults change clothes according to their height every day,adults change clothes according to the weather every day
11848,you can use a link to write things,you can use ink to write things
11849,museum exhibits artifacts for sale,museum exhibits artifacts for everyone to learn
11850,the alarm ringing announced that the class was over,the bell ringing announced that the class was over
11851,passengers need to undergo a rigorous safety check before taking a taxi,passengers need to undergo a rigorous safety check before boarding the plane
11852,you can use money to buy some health to live longer,you can use money to buy some products to live longer
11853,studying requires violence,studying requires patience
11854,we used optical microscopes to see atoms in science class,we used optical microscopes to see cells in science class
11855,designers show outdated clothes in a fashion show,designers show avant-garde clothes in a fashion show
11856,the driver offered his seat to the old lady on the bus,the young man offered his seat to the old lady on the bus
11857,I jumped into the fire to cool myself,I jumped into the water to cool myself
11858,my father sold the best salesmen to become the best product,my father sold the best products to become the best salesman
11859,I washed my computers twice a week,I washed my clothes twice a week
11860,I used to step on the mountain to get the sugar on the op of the cupboard,I used to step on the stone to get the sugar on the top of the cupboard
11861,a wall is the entrance of a house,a wall is the boundary of a house
11862,we built a factory to produce creative ideas,we built a factory to produce creative goods
11863,we use the microscope to learn about the universe,we use the microscope to learn about the microcosm
11864,we can find first class airplane seats in the wings of a plane,we can find first class airplane seats in the front of a plane
11865,"when a relative dies, we held a party for him","when a relative dies, we held a funeral for him"
11866,a bed can rest a pillow,a bed can rest a person
11867,children will praise parents when kids did something well,parents will praise children when kids did something well
11868,professional soccer players earn money by selling footballs,professional soccer players earn money by playing football games
11869,animals are pets,pets are animals
11870,we grow Christmas trees in December every year,we buy Christmas trees in December every year
11871,sun bathing removes dirt from the body,water bathing removes dirt from the body
11872,I bought a ticket for the taxi I took,I bought a ticket for the train I took
11873,he was fined for smoking in his home,he was fined for smoking in the airplane
11874,we took notes in class for recording what we were thinking,we took notes in class for not forgetting the knowledge
11875,I want to find a noisy place to have a sleep,I want to find a quiet place to have a sleep
11876,People open their doors when they go out of the home,People close their doors when they go out of the home
11877,People can chat with the dead,People can talk chat with living people
11878,Sweat will be secreted when the sand touches eyes,Tears will be secreted when the sand touches eyes
11879,People usually put curtains on the walls,People usually put curtains on the windows
11880,People usually roast meat with cold water,People usually roast meat over fire
11881,People usually enter the park from the fence,People usually enter the park from the entrance
11882,People usually like to wear oversize clothes,People usually like to wear fitted clothes
11883,People should break the contract,People should abide by the contract
11884,Rats can't bite wood furniture,Rats can't bite metal furniture
11885,Sheep usually like wolves,Sheep usually hate wolves
11886,College students usually learn the same courses,College students can learn different courses
11887,Eating a lot of instant noodles is healthy,Eating a lot of instant noodles is unhealthy
11888,Programmers usually don't use computers,Programmers often use computers
11889,if you fail the exam you should cheat next time,if you fail the exam you should study harder for next time
11890,I should indulge myself when I fail,I should refresh myself when I fail
11891,mom cooks the fried tiger meat once a week for me,mom cooks the fried egg once a week for me
11892,sprinters' arms are usually strong,sprinters' legs are usually strong
11893,I can take part in the soccer game in formal clothes,I can take part in the soccer game in athletic clothes
11894,we can travel on the sea by train,we can travel on the sea by boat
11895,pigs' eggs are delicious,chickens' eggs is delicious
11896,we can eat noodles with knives,we can eat noodles with forks
11897,birds' milk is nutrient,goats' milk is nutrient
11898,People can make wires from plastics,People can make wires from metal
11899,People can read newspapers to know what will happen in the future,People can read newspapers to know what has happened recently
11900,People should rub water on their skin before giving an injection,People should rub ethyl alcohol on their skin before giving an injection
11901,Something you might do while taking the bus is drawing an oil painting,Something you might do while taking the bus is reading a newspaper
11902,She felt hungry and satisfied after having lunch,She felt full and satisfied after having lunch
11903,Bob is cooking while eating dinner,Bob is chewing while eating dinner
11904,A person can survive a fall from a five-floor building,A rat can survive a fall from a five-floor building
11905,The longest nonstop flight by a dog is eight days,The longest nonstop flight by a bird is eight days
11906,He caught a cold and had a cold shower,He caught a cold and had a hot shower
11907,Humans smell through their ears,Humans smell through their noses
11908,Alice formed a habit of sleeping to keep fit,Alice formed a habit of jogging to keep fit
11909,It's summer and it's freezing cold outside,It's winter and it's freezing cold outside
11910,Frogs will die with enough water,Frogs will die without enough water
11911,Kate made books with a microwave oven,Kate made popcorn with a microwave oven
11912,Marry lit up rocks to make a campfire,Marry lit up firewoods to make a campfire
11913,Barry went under an umbrella to stay wet on a rainy day,Barry went under an umbrella to stay dry on a rainy day
11914,She goes skiing while watching TV,She eats snacks while watching TV
11915,Children in school use cameras for drawing,Children in school use crayons for drawing
11916,Wang is eating with poles,Wang is eating with chopsticks
11917,Dry towels need to hang up to dry,Wet towels need to hang up to dry
11918,Resting is a good exercise,Running is a good exercise
11919,Computers and milk make a great dessert,Cookies and milk make a great dessert
11920,a basket is for warmth,a blanket is for warmth
11921,attending class is for playing,attending class is for learning
11922,He throws up when he eats nice food,He throws up when he eats bad food
11923,Shoes are meant to protect hands,Shoes are meant to protect feet
11924,most people consider it to be cold when it is above ninety degrees,most people consider it to be cold when it is below zero degrees
11925,a piece of cake is used for writing,a piece of paper is used for writing
11926,Amy is angry to know that her best friend has recovered from the illness,Amy is happy to know that her best friend has recovered from the illness
11927,my jaw dropped open when I was unhappy,my jaw dropped open when I was shocked
11928,the filthy car needs to be painted,the filthy car needs to be washed
11929,my friend paid for my ticket so I didn't get on the bus,my friend paid for my ticket so I got on the bus
11930,dina visited her family because she distrusted them,dina visited her family because she missed them
11931,the balloon expanded as he pricked it,the balloon expanded as he blew into it
11932,maggie remained quiet to lighten the mood of the conversation,maggie told a joke to lighten the mood of the conversation
11933,a hammer dropped on Bill's foot and his finger was broken,a hammer dropped on Bill's foot and his toe was broken
11934,the clothes are still dirty because I forgot to add laundry water,the clothes are still dirty because I forgot to add laundry detergent
11935,air leaked out of the beach ball because it had a picture on it,air leaked out of the beach ball because it had a hole on it
11936,the conversation gradually lulled to silence as more people joined,the conversation gradually lulled to silence as more people left
11937,julia pressed down on a piano key to play a music,julia pressed down on a piano key to make a sound
11938,vehicles travelled slowly in cloudy days,vehicles travelled slowly in foggy days
11939,lauren gained weight so she had to get her shoes shined,lauren gained weight so she had to get her suit altered
11940,the clouds were getting darker so I brought my laptop to work,the clouds were getting darker so I brought my umbrella to work
11941,the boy lost hold of the soap because it's fragrant,the boy lost hold of the soap because it's slippery
11942,the button on my shirt fell off so I glued the button back on,the button on my shirt fell off so I sewed the button back on
11943,the celebrity wore sunglasses to help recognition,the celebrity wore sunglasses to avoid recognition
11944,the leader received praise because he raised taxes,the leader received praise because he fought poverty
11945,my mailbox was overflowing with letters when I went back after five minutes,my mailbox was overflowing with letters when I went back after one month
11946,the banana ripened so we threw them away,the banana ripened so we ate them
11947,the chef pressed down on the dough and the dough crumbled,the chef pressed down on the dough and the dough flattened
11948,my feet were blistered after a day of swimming,my feet were blistered after a day of hiking
11949,her eyeglasses fogged up as she exited the sauna,her eyeglasses fogged up as she entered the sauna
11950,he found the tv show boring so he recorded it,he found the tv show boring so he turned it off
11951,the boy was afraid to go to bed because he watched a comedy movie,the boy was afraid to go to bed because he watched a horror movie
11952,the girl wanted to be a doctor so she went to the hospital,the girl wanted to be a doctor so she went to the medical school
11953,thomas wanted to get revenge on his friend,thomas wanted to get revenge on his enemy
11954,the woman was mistaken for her sister because they sat close,the woman was mistaken for her sister because they looked alike
11955,she made an error in her calculations because she checked it several times,she made an error in her calculations because she checked it only once
11956,the girl politely declined the hamburger because she liked fast food,the girl politely declined the hamburger because she was a vegetarian
11957,miley scrubbed the stain on the floor and she got dirt on the floor,miley scrubbed the stain on the floor and she got rid of the stain
11958,the egg splattered after I boiled it,the egg splattered after I dropped it
11959,a group of teenagers crashed the party and the host invited them in,a group of teenagers crashed the party and the host kicked them out
